Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Total Inv
ANGELONE,EQ,03-Aug-22,1353.9,1365,1379.5,1288.95,1309.9,1313.1,1333.99,443072,591055792.1,18360,183470,41.41,24.47471453
ANGELONE,EQ,04-Aug-22,1313.1,1325,1327.3,1242.2,1257,1253.2,1268.66,909859,1154300775,38802,384168,42.22,48.73785749
ANGELONE,EQ,05-Aug-22,1253.2,1268,1287,1260,1272.2,1270.6,1271.23,427048,542876827.7,16880,154502,36.18,19.64075775
ANGELONE,EQ,08-Aug-22,1270.6,1284.4,1299,1273,1289,1287.75,1288.29,360949,465007489.3,14547,120932,33.5,15.57954863
ANGELONE,EQ,10-Aug-22,1287.75,1289.25,1296.75,1256,1267,1264.15,1267.12,316931,401590914,17654,121401,38.31,15.38296351
ANGELONE,EQ,11-Aug-22,1264.15,1280,1313.35,1255,1309.5,1308.55,1291,659984,852037088.7,26449,193174,29.27,24.9387634
ANGELONE,EQ,12-Aug-22,1308.55,1295,1308,1270,1283,1282.25,1283.78,319596,410291987.5,18576,113939,35.65,14.62726094
ANGELONE,EQ,16-Aug-22,1282.25,1288,1304.9,1271.95,1287,1286.65,1282.49,415090,532349504,12751,195386,47.07,25.05805911
ANGELONE,EQ,17-Aug-22,1286.65,1292.45,1325,1287.2,1319,1319.5,1307.75,568570,743545724,19553,186253,32.76,24.35723608
ANGELONE,EQ,18-Aug-22,1319.5,1326,1354,1310.8,1329.15,1331.15,1333.03,562139,749346859.5,20809,222775,39.63,29.69657583
ANGELONE,EQ,19-Aug-22,1331.15,1322,1340,1285.05,1293.85,1295.05,1307.61,358052,468190913.9,16851,122661,34.26,16.03927502
ANGELONE,EQ,22-Aug-22,1295.05,1280,1312.5,1275,1296,1293.05,1293.8,311406,402898289.8,14660,103173,33.13,13.34852274
ANGELONE,EQ,23-Aug-22,1293.05,1266.6,1298.2,1264,1282.95,1278.9,1277.42,297064,379476732,12554,92495,31.14,11.81549629
ANGELONE,EQ,24-Aug-22,1278.9,1287.85,1303.6,1258.15,1268,1264.7,1278.88,289299,369980005.1,12327,115465,39.91,14.76658792
ANGELONE,EQ,25-Aug-22,1264.7,1279.35,1325,1270.85,1321,1318.55,1305.57,629330,821636007.9,21203,262788,41.76,34.30881292
ANGELONE,EQ,26-Aug-22,1318.55,1326,1364,1321,1324,1332.95,1344.53,661766,889764156.9,23884,261663,39.54,35.18137534
ANGELONE,EQ,29-Aug-22,1332.95,1275,1303,1272.35,1295.9,1291.65,1292.73,325791,421159761.5,13225,134619,41.32,17.40260199
ANGELONE,EQ,30-Aug-22,1291.65,1307.45,1320,1297.85,1308,1307.3,1309.34,273393,357964470.5,9747,108329,39.62,14.18394929
ANGELONE,EQ,01-Sep-22,1307.3,1300,1332,1297.55,1318,1316.3,1318.79,296307,390766384.3,12881,140832,47.53,18.57278333
ANGELONE,EQ,02-Sep-22,1316.3,1324.6,1357.75,1321,1330.8,1327.1,1336.85,279333,373426077,12978,109158,39.08,14.59278723
ANGELONE,EQ,05-Sep-22,1327.1,1340,1369,1332,1339,1340.15,1354.08,591103,800399145.7,22098,201844,34.15,27.33129235
ANGELONE,EQ,06-Sep-22,1340.15,1350.95,1433.8,1347.65,1389.5,1387.05,1395.36,1283863,1791446170,42486,390608,30.42,54.50387789
ANGELONE,EQ,07-Sep-22,1387.05,1388.45,1511,1385.7,1505.55,1486.65,1450.28,1543679,2238762740,52435,448767,29.07,65.08378048
ANGELONE,EQ,08-Sep-22,1486.65,1527.85,1615,1495,1598.1,1594.8,1552.79,2527666,3924930402,78308,621062,24.57,96.4378863
ANGELONE,EQ,09-Sep-22,1594.8,1613.85,1615.2,1563,1578.75,1582.55,1588.07,1104431,1753908314,40707,253873,22.99,40.31680951
ANGELONE,EQ,12-Sep-22,1582.55,1580,1604.2,1563.05,1588,1594,1590.44,496279,789303810.4,20829,138839,27.98,22.08150992
ANGELONE,EQ,13-Sep-22,1594,1595,1600.05,1530,1545,1550.85,1565.82,400732,627473335,16704,128121,31.97,20.06144242
ANGELONE,EQ,14-Sep-22,1550.85,1507,1583.9,1507,1568,1563.05,1543.23,377423,582449985.7,18174,104998,27.82,16.20360635
ANGELONE,EQ,15-Sep-22,1563.05,1570.9,1631,1570,1580,1583.6,1598.18,606694,969605848,25892,186027,30.66,29.73046309
ANGELONE,EQ,16-Sep-22,1583.6,1575,1601.75,1530.5,1574,1567.5,1572.59,457788,719910602.5,21402,164247,35.88,25.82931897
ANGELONE,EQ,19-Sep-22,1567.5,1563,1600.95,1532.1,1584,1572.1,1579.55,358025,565519791.3,17787,105018,29.33,16.58811819
ANGELONE,EQ,20-Sep-22,1572.1,1600,1600,1556,1567.7,1566.7,1576.36,325169,512584458,15973,135559,41.69,21.36897852
ANGELONE,EQ,21-Sep-22,1566.7,1574.4,1579,1515.55,1527,1530.1,1538.25,266969,410666213,17526,98060,36.73,15.0840795
ANGELONE,EQ,22-Sep-22,1530.1,1537.8,1537.8,1495.1,1508,1507,1508.21,324775,489827620.2,19460,123918,38.16,18.68943668
ANGELONE,EQ,23-Sep-22,1507,1508,1526.9,1488,1492.5,1491.9,1503.18,155282,233417496.2,10122,46113,29.7,6.931613934
ANGELONE,EQ,26-Sep-22,1491.9,1487.2,1487.2,1351.05,1377,1382.8,1391.4,548610,763338018.9,35666,161725,29.48,22.5024165
ANGELONE,EQ,27-Sep-22,1382.8,1389.75,1417.4,1353.05,1363.95,1361.3,1382.1,297874,411692087,15543,76689,29.89,10.59918669
ANGELONE,EQ,28-Sep-22,1361.3,1350,1379.6,1300,1311,1308.2,1340.3,416912,558785580.2,22854,138427,33.2,18.55337081
ANGELONE,EQ,29-Sep-22,1308.2,1332,1359,1315.5,1341.9,1329.3,1334.54,267681,357230737.5,17426,73984,27.64,9.873460736
ANGELONE,EQ,30-Sep-22,1329.3,1335.95,1378,1309.8,1376,1362,1340.2,297023,398070355.8,15733,77486,26.09,10.38467372
ANGELONE,BL,03-Oct-22,306,1362,1362,1362,1362,1362,1362,80039,109013118,1,-,-,#VALUE!
ANGELONE,EQ,03-Oct-22,1362,1368.85,1378.4,1339.35,1371.5,1363.75,1362.82,230234,313766605.1,11687,68783,29.88,9.373884806
ANGELONE,EQ,04-Oct-22,1363.75,1442,1550,1430.75,1537.9,1532.15,1497.21,2699657,4041940837,89301,352654,13.06,52.79970953
ANGELONE,EQ,06-Oct-22,1532.15,1547.45,1568,1512.6,1536,1540.5,1540.37,790251,1217282503,30677,119294,15.1,18.37568988
ANGELONE,EQ,07-Oct-22,1540.5,1540.5,1540.5,1515,1528,1526.95,1523.88,326412,497414044.4,16122,83278,25.51,12.69056786
ANGELONE,EQ,10-Oct-22,1526.95,1508,1618.9,1495.2,1613.05,1610.7,1579.41,1360171,2148269944,50664,226556,16.66,35.7824812
ANGELONE,EQ,11-Oct-22,1610.7,1614.95,1614.95,1560,1565,1567.9,1585.71,691870,1097102771,29920,189460,27.38,30.04286166
ANGELONE,EQ,12-Oct-22,1567.9,1578.85,1612,1572.4,1586,1588.45,1595.58,1118264,1784278879,43690,431029,38.54,68.77412518
ANGELONE,EQ,13-Oct-22,1588.45,1593.4,1605,1562.55,1593,1588.35,1587.24,647108,1027115258,26037,140955,21.78,22.37294142
ANGELONE,EQ,14-Oct-22,1588.35,1648.8,1674,1620.15,1632,1649.6,1649.84,3031645,5001737409,109124,979585,32.31,161.6158516
ANGELONE,EQ,17-Oct-22,1649.6,1636.6,1648,1601.15,1630,1625.75,1621.93,746808,1211269344,41032,279651,37.45,45.35743464
ANGELONE,EQ,18-Oct-22,1625.75,1633.9,1636.95,1543.55,1602.15,1607.05,1594.67,826157,1317449232,32649,192132,23.26,30.63871364
ANGELONE,EQ,19-Oct-22,1607.05,1615.1,1630,1591.1,1611.5,1610.4,1609.22,572811,921781402.5,24581,200467,35,32.25955057
ANGELONE,EQ,20-Oct-22,1610.4,1590,1620,1583,1605,1614.55,1601.25,450075,720681962.5,17529,227392,50.52,36.411144
ANGELONE,EQ,21-Oct-22,1614.55,1616.55,1622.5,1595,1616.5,1610.35,1610.37,297568,479195219.6,9709,132954,58.84,21.4105133
ANGELONE,EQ,24-Oct-22,1610.35,1620,1625,1607,1613,1618.55,1618.99,249098,403285955.9,4557,222243,89.22,35.98091946
ANGELONE,EQ,25-Oct-22,1618.55,1622,1624.8,1593.15,1607,1609.45,1607.34,370393,595346316.2,16156,172303,46.52,27.6949504
ANGELONE,EQ,27-Oct-22,1609.45,1614.8,1655.95,1603.65,1617,1621.2,1633.43,479436,783124892.2,41751,189431,39.51,30.94222783
ANGELONE,EQ,28-Oct-22,1621.2,1611,1650,1611,1627.15,1634.25,1630.98,453575,739771973,39055,165450,54.96,26.9845641
ANGELONE,EQ,31-Oct-22,1634.25,1635,1635,1594,1600.05,1602.65,1606.63,318009,510923882.4,19079,148848,46.81,23.91436622
