Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Total Invested,,,
JKPAPER,EQ,27-Jun-22,283.75,289,297,285.55,289.95,290.45,291.28,1197212,348728429.9,20049,353854,29.56,10.30705931,,,
JKPAPER,EQ,28-Jun-22,290.45,289.4,309.45,287.1,307.25,307.95,301.79,2608270,787137737.7,36600,455917,17.48,13.75911914,,,
JKPAPER,EQ,29-Jun-22,307.95,304,314.9,300.2,303,302.55,308.05,1721755,530380024.9,22620,357469,20.76,11.01183255,,,
JKPAPER,EQ,30-Jun-22,302.55,304.7,308.9,291.15,296,295.7,298.56,1140259,340432717.4,17132,323662,28.38,9.663252672,,,
JKPAPER,EQ,01-Jul-22,295.7,298,309.75,297.05,303.25,304.2,304.7,2270069,691697182.6,33866,300424,13.23,9.15391928,,,
JKPAPER,EQ,04-Jul-22,304.2,305.6,313.65,300.05,304.9,303.75,307.21,1527404,469231516.9,20390,417352,27.32,12.82147079,,,
JKPAPER,EQ,05-Jul-22,303.75,306.55,308.55,301.55,303.8,302.95,305.03,717957,218999946.8,10148,256719,35.76,7.830699657,,,
JKPAPER,EQ,06-Jul-22,302.95,304.8,305.25,297.5,300,299.25,299.79,854783,256255086.2,15664,339819,39.76,10.1874338,,,17.76131539
JKPAPER,EQ,07-Jul-22,299.25,303,305.65,298.1,302.85,303.1,301.25,963135,290144568.2,14960,361817,37.57,10.89973713,,,
JKPAPER,EQ,08-Jul-22,303.1,305,306.5,297.65,301.25,299.9,301.42,890542,268426246.2,13689,359719,40.39,10.8426501,,,
JKPAPER,EQ,11-Jul-22,299.9,300.25,304.5,298,299.7,299.4,300.21,605565,181798825.5,9116,217262,35.88,6.522422502,,,
JKPAPER,EQ,12-Jul-22,299.4,298.7,300.9,296.25,296.75,297.6,298.55,788345,235357157.6,11689,294193,37.32,8.783132015,,,
JKPAPER,EQ,13-Jul-22,297.6,304.4,313.15,301.25,305,304.55,307.53,2833290,871325167.1,34957,701607,24.76,21.57652007,,,
JKPAPER,EQ,14-Jul-22,304.55,306.8,306.8,295.6,298.8,297.85,300.4,895122,268894930.3,13821,294591,32.91,8.84951364,,,
JKPAPER,EQ,15-Jul-22,297.85,299.95,306.95,297.9,304.2,304.5,301.43,724435,218367725.6,11499,271045,37.41,8.170109435,,,
JKPAPER,EQ,18-Jul-22,304.5,306.8,321.4,303.5,320.8,318.95,314.38,3179922,999708066.5,35064,825598,25.96,25.95514992,,,
JKPAPER,EQ,19-Jul-22,318.95,318.95,333,317.4,329,330.45,326.5,2727548,890550428.2,27993,570945,20.93,18.64135425,,,
JKPAPER,EQ,20-Jul-22,330.45,332.2,335.4,324.3,329.9,329.3,329.8,1596272,526444961.3,20822,370782,23.23,12.22839036,,,
JKPAPER,EQ,21-Jul-22,329.3,330.2,331,326.25,328.5,328.15,328.13,503776,165304077,7889,145618,28.91,4.778163434,,,
JKPAPER,EQ,22-Jul-22,328.15,329.5,335.95,327,329.9,329.55,331.28,850773,281843003,12640,238958,28.09,7.916200624,,,
JKPAPER,EQ,25-Jul-22,329.55,330.4,334.95,325.3,334.95,333.35,330.76,807005,266925078.5,12177,233362,28.92,7.718681512,,,
JKPAPER,EQ,26-Jul-22,333.35,334.7,337,328.6,329.6,330.5,331.54,678073,224808471.4,10206,198073,29.21,6.566912242,,,
JKPAPER,EQ,27-Jul-22,330.5,329.1,343.7,328.05,343,341.7,338.86,2119569,718231167,28947,525304,24.78,17.80045134,,,
JKPAPER,EQ,28-Jul-22,341.7,346.3,348.8,337.45,338.8,340.05,343.03,1029180,353038167.2,14610,322845,31.37,11.07455204,,,
JKPAPER,EQ,29-Jul-22,340.05,342.7,349,340.35,345.6,346.75,345.17,1252072,432183088.7,16546,463012,36.98,15.9817852,,,
JKPAPER,EQ,01-Aug-22,346.75,351,380.9,350.95,370,369.55,371.53,7095045,2636033929,99862,1445220,20.37,53.69425866,,,
JKPAPER,EQ,02-Aug-22,369.55,370,395.75,365,394,392.75,384.48,4139374,1591489640,51348,867139,20.95,33.33976027,,,
JKPAPER,EQ,03-Aug-22,392.75,394,394.05,377.1,383.15,384.95,384.93,1825783,702790081.5,27233,405996,22.24,15.62800403,,,
JKPAPER,EQ,04-Aug-22,384.95,388.25,402,382.3,388.25,389.8,393.44,3196611,1257659414,44885,604473,18.91,23.78238571,,,
JKPAPER,EQ,05-Aug-22,389.8,390,395.95,380,382.5,382.05,388.07,1461328,567091817.1,23902,440385,30.14,17.0900207,,,
JKPAPER,EQ,08-Aug-22,382.05,383.3,393.8,375.05,393,388.9,383.65,2002086,768102419.9,26468,623738,31.15,23.92970837,,,
JKPAPER,EQ,10-Aug-22,388.9,391,425,390.95,422.7,422.6,413.37,10085138,4168863386,134903,1828222,18.13,75.57321281,,,
JKPAPER,EQ,11-Aug-22,422.6,426.9,442.4,426.5,431,431.25,434.8,5702958,2479619918,70364,1392519,24.42,60.54672612,,,
JKPAPER,EQ,12-Aug-22,431.25,431.2,433.55,421,424,425.1,426.86,1948128,831572787.3,29076,646696,33.2,27.60486546,,,
JKPAPER,EQ,16-Aug-22,425.1,424.65,449.95,416.05,446,447.05,440.62,2848151,1254958532,40832,687231,24.13,30.28077232,,,
JKPAPER,EQ,17-Aug-22,447.05,447.95,447.95,432.3,434,434.85,436.71,1603331,700185808.8,22246,501963,31.31,21.92122617,,,
JKPAPER,EQ,18-Aug-22,434.85,430.85,441.65,430,432.8,431.65,435.3,1489535,648396964.8,24052,327146,21.96,14.24066538,,,
JKPAPER,EQ,19-Aug-22,431.65,433.6,436.25,417.25,417.85,419.7,426.2,1212577,516801233.6,23642,412496,34.02,17.58057952,,,
JKPAPER,EQ,22-Aug-22,419.7,419.4,432,408.8,419,419.2,421.37,2281128,961191638.4,37897,383885,16.83,16.17576225,,,
JKPAPER,EQ,23-Aug-22,419.2,414.8,419.4,406.7,414,414.45,414.01,1640552,679206003.7,31322,378732,23.09,15.67988353,,,
JKPAPER,EQ,24-Aug-22,414.45,416,433.75,415.8,428.05,429.15,426.99,2878667,1229173142,40507,484828,16.84,20.70167077,,,
JKPAPER,EQ,25-Aug-22,429.15,432.9,439.2,415.1,417.2,417.3,425.48,2308805,982340521.5,35428,736349,31.89,31.33017725,,,
JKPAPER,EQ,26-Aug-22,417.3,421,424,412.1,415.7,414.7,416.01,1113077,463054225.1,21670,289371,26,12.03812297,,,
JKPAPER,EQ,29-Aug-22,414.7,404.4,422.6,400,418,416.7,414.96,1784457,740470040.7,29220,326213,18.28,13.53653465,,,
JKPAPER,EQ,30-Aug-22,416.7,420.5,424,417,419,419.45,420.23,767786,322644634.2,11488,248762,32.4,10.45372553,,,
JKPAPER,EQ,01-Sep-22,419.45,420.85,433.45,420.5,423.3,424.7,425.47,1443776,614290117,24522,326668,22.63,13.8987434,,,
JKPAPER,EQ,02-Sep-22,424.7,426.95,432,420.3,422,422.4,425.57,921701,392247879.6,16508,249214,27.04,10.6058002,,,
JKPAPER,EQ,05-Sep-22,422.4,423.5,436,418.5,420.9,420.3,427.24,1402620,599249741.5,21388,453775,32.35,19.3870831,,,
JKPAPER,EQ,06-Sep-22,420.3,423,425.75,415.15,416.95,416.3,420.22,797196,334996990.4,12162,309522,38.83,13.00673348,,,
JKPAPER,EQ,07-Sep-22,416.3,414.75,426.95,412.65,421,421.35,420.89,1190730,501165107,20305,444623,37.34,18.71373745,,,
JKPAPER,EQ,08-Sep-22,421.35,425,434,418.9,421,420,426.35,1618003,689843051.5,20862,458809,28.36,19.56132172,,,
JKPAPER,EQ,09-Sep-22,420,423.4,424.4,417,420.9,420.2,420.8,712719,299911515.7,11575,226175,31.73,9.517444,,,
JKPAPER,EQ,12-Sep-22,420.2,422.9,428.8,420.65,426,425.95,424.8,891292,378623287.9,12255,387782,43.51,16.47297936,,,
JKPAPER,EQ,13-Sep-22,425.95,428,444.9,426.55,434.5,433.15,437.29,2859883,1250595310,37249,812926,28.43,35.54844105,,,
JKPAPER,EQ,14-Sep-22,433.15,421,433.75,421,428.65,427.6,427.47,948561,405483492,15055,227493,23.98,9.724643271,,,
JKPAPER,EQ,15-Sep-22,427.6,431.4,442.7,430,437,435.25,436.81,1459607,637574298.5,22416,351299,24.07,15.34509162,,,
JKPAPER,EQ,16-Sep-22,435.25,436,436,404.4,407.9,407.85,416.95,1522045,634617595.1,24867,753656,49.52,31.42368692,,,
JKPAPER,EQ,19-Sep-22,407.85,409.2,411.75,397.05,407,405.3,405.07,798434,323422790.8,16827,250349,31.36,10.14088694,,,
JKPAPER,EQ,20-Sep-22,405.3,411,414.75,399.05,403,402.1,407.67,802659,327216412.8,13504,332727,41.45,13.56428161,,,
JKPAPER,EQ,21-Sep-22,402.1,403.95,410.75,392.75,393.75,394.25,398.92,826505,329708604.3,16166,326173,39.46,13.01169332,,,
JKPAPER,EQ,22-Sep-22,394.25,394.9,401,393,399.9,398.05,396.39,679758,269448409.8,16105,235856,34.7,9.349095984,,,
